경찰서
연지치안센터
부암지구대
성지지구대
시민공원치안센터
양정지구대
범전치안센터
부암3치안센터
대공원치안센터
부전지구대
당감1치안센터
부산진경찰서 장애인주차장
부산진경찰서
당감4치안센터
