경찰서
당감1치안센터
부암지구대
KB국민은행ATM 부산진경찰서 365자동화점
부산진경찰서 장애인주차장
부산진경찰서
경찰서옆초밥집
시민공원치안센터
쏘카존 부산진경찰서 맞은편
부산진경찰서 당감지구대
연지치안센터
부산진경찰서 서면교통안내센터
당감4치안센터
부암3치안센터
부전지구대
부전2치안센터
범전치안센터
가야1치안센터
중앙치안센터
