초등학교
이디야커피 부산석포초교점
석포초등학교
석포초등학교 행정실
지진옥외대피장소 석포초등학교
대연초등학교 체육관
대천초등학교
지진옥외대피장소 대연초등학교
지진옥외대피장소 대천초등학교
대연초등학교 교무실
대연초등학교
대연초등학교 행정실
대천초등학교 체육관
대천초등학교 전기차충전소
연포초등학교
연포초등학교 병설유치원
동천초등학교
지진옥외대피장소 동천초등학교
신연초등학교 행정실
신연초등학교
신연초등학교 교무실
지진옥외대피장소 신연초등학교
용당초등학교
지진옥외대피장소 용당초등학교
지진옥외대피장소 우암초등학교
우암초등학교
우암초등학교 병설유치원
우암초등학교 교무실
