초등학교
지진옥외대피장소 용산초등학교
용산초등어린이집
용산초등학교
용산초등학교 병설유치원
운산초등학교
지진옥외대피장소 백운초등학교
백운초등학교
지진실내구호소 백운초등학교
용호초등학교총동문회
지진실내구호소 용호초등학교
지진옥외대피장소 용호초등학교
용호초등학교
용호초등학교뒤주거지전용주차장
오륙도초등학교
