경찰서
충무지구대
부민파출소
아미파출소
부평파출소
보수파출소
부산서부경찰서
서대치안센터
대청파출소
창선치안센터
감천2파출소
감천2치안센터
괴정2치안센터
동대치안센터
구덕지구대
