병원
송산한의원
대호동물병원
김정근내과의원
강순일치과
푸른정의원
이창영정신건강의학과의원
선일치과의원
최성호비뇨기과의원
세종정형외과의원
이수영치과의원
BH대학효요양병원
구세산부인과
강치과의원
대신한의원
토머스신경외과의원
홍이비인후과의원
보스톤치과의원
대한최강정형외과의원
만박동물병원
삼성의원
화이트365 부산대학병원점
충무새힘한의원
삼성한의원
크로플덕 부산대병원점
조호성치과의원
합천한의원
남포속바른내과의원
눈초롱안과의원
한양마디시원정형외과의원
성비뇨기과의원
플러스치과의원
강철중정신건강의학과의원
바른성모안과
바른병원
맑은피부과의원
바른정형외과
김용기내과
부산대학교병원 간호부
부산대학교병원 B동(외래센터)
무인민원발급창구 부산대병원
기정의원
동창한의원
경희한의원
센스원의원
부산대학교병원 출입구
