경찰서
구덕지구대
보수파출소
동대치안센터
영주파출소
부산서부경찰서
대청파출소
부평파출소
충무지구대
부민파출소
서대치안센터
부산중부경찰서
중부경찰서삼거리
초량지구대
중앙치안센터
