경찰서
창선치안센터
아미파출소
부평파출소
남부민6동청년회방범초소
부산영도경찰서
부산영도경찰서 구내식당
감천2치안센터
감천2파출소
부산영도경찰서 전기차충전소
부민파출소
충무지구대
남포지구대
보수파출소
송도지구대
