경찰서
봉래치안센터
대교파출소
영선지구대
부산영도경찰서 전기차충전소
부산영도경찰서 구내식당
부산영도경찰서
신선치안센터
청학1치안센터
남항치안센터
남포지구대
영선2치안센터
부산해양경찰서 부산청학PC시험장
창선치안센터
