공원
단비동산공원
사직놀이공원
사직한밭공원
한길소공원
스위첸공원
신정소공원
여고소공원
미남공원
쇠미소공원
동래사적공원민간공원조성특례사업아파트 (예정)
온새미로공원
BNK부산은행 365코너 아시아드주경기장공원
어울림공원
한마음공원
지진옥외대피장소 한마음공원
숲향기공원
부산의료원 휴게공원
꿈나무공원
화지산 제1체육공원
솥밭공원
