공원
나무공원빌딩
꿈나무공원
산저공원
하늘공원
롯데백화점 동래점 하늘공원
숲향기공원
미남공원
솥밭공원
온천어린이공원
온새미로공원
동래온천헬스공원
반려동물 산책놀이공원
동래사적공원민간공원조성특례사업아파트 (예정)
사직놀이공원
수안체육공원
여고소공원
금강공원 관리사무소
금강공원 주차장
수안체육공원 화장실
금강공원 케이블카매표소
금강공원 금강케이블카
한길소공원
온천천시민공원 화장실
금강공원 정문
금강공원
금강공원 매표소
금강공원입구교차로
신정소공원
금강공원 금강체육관
금강공원 금강클럽
동래사적공원 동래구제1지구환경관리소
단비동산공원
지진옥외대피장소 동래사적공원
동래사적공원 주차장
