공원
여고소공원
한길소공원
신정소공원
사직놀이공원
단비동산공원
한마음공원
지진옥외대피장소 한마음공원
미남공원
동래온천헬스공원
어울림공원
반려동물 산책놀이공원
사직한밭공원
나무공원빌딩
온천천시민공원 화장실
수안체육공원
스위첸공원
수안체육공원 화장실
온새미로공원
꿈나무공원
동래사적공원민간공원조성특례사업아파트 (예정)
숲향기공원
거제체육공원
산저공원
솥밭공원
하늘공원
BNK부산은행 365코너 아시아드주경기장공원
