공원
명장한마음공원
화현공원
명장소공원
명장근린공원 (2024년예정)
안락꿈돌이공원
세실공원
명장배수지상부체육공원 인라인스케이트장
명서공원
명장공원 반여저류 공중화장실
동래사적공원 부산3.1독립운동기념탑
동래사적공원 화장실
감성커피 낙민공원점
낙민공원 농구장
낙민공원
낙민공원 놀이터
수영강 시민공원 농구코트
수영강시민공원
낙민공원 테니스장
서명상상어린이공원
지진옥외대피장소 서명어린이공원
공원식당
동래사적공원
연안수민공원
동래사적공원 동래읍성
명장근린공원
온천천시민공원 화장실
수민어울공원
지진옥외대피장소 동래사적공원
근린공원 어린이놀이터
별바라기어린이공원
보람어린이공원
