공원
스위첸공원
사직한밭공원
단비동산공원
쇠미소공원
사직놀이공원
한길소공원
신정소공원
동래사적공원민간공원조성특례사업아파트 (예정)
BNK부산은행 365코너 아시아드주경기장공원
여고소공원
미남공원
온새미로공원
부산의료원 휴게공원
찬물샘공원
어울림공원
숲향기공원
화지산 제1체육공원
한마음공원
