경찰서
좌천동방범초소
부산동부경찰서
부산동부경찰서 전기차충전소
수정치안센터
좌천4치안센터
수성지구대
좌천파출소
범일1동청년회방범초소
범곡파출소
자성대파출소
범일4동청년회방범초소
