경찰서
수정치안센터
수성지구대
부산동부경찰서
좌천동방범초소
부산동부경찰서 전기차충전소
좌천4치안센터
초량2치안센터
범곡파출소
범일1동청년회방범초소
초량지구대
좌천파출소
