공원
수정동 우리동네 방재공원
수정산 배수지
수정공원상로 제1노상공영주차장
수정공원상로 제1노상주차장 전기차충전소
고지대그린테마공원
지진옥외대피장소 쌈지공원
동구체육공원 공영주차장
수정가로공원
수정산가족체육공원 공영주차장
동구체육공원 공영주차장 전기차충전소
수정산가족체육공원
수정산가족체육공원 배드민턴장
지진옥외대피장소 수정산가족 체육공원
수정산가족체육공원 풋살장
초량1동 소규모마을공원
이바구공원
친수공원
좌천범일어린이공원
증산공원 족구장
중앙공원
영주배수지체육공원
좌천더숲어린이공원
