공원
초량1동 소규모마을공원
이바구공원
영주배수지체육공원
친수공원
중앙공원
영주어린이공원
중앙공원 무궁화동산
중앙공원 충혼탑
오름소공원
대청공원맨션
중앙공원 시민광장
중앙공원 공영주차장
부산시설공단_중앙공원 공영주차장 전기차충전소
중앙공원 화장실
수정산 배수지
중앙공원 조각공원
중앙공원사업소
민주공원 4.19광장
부산광복기념관
수정동 우리동네 방재공원
지진옥외대피장소 중앙공원
중앙공원 게이트볼장
민주공원
민주공원 큰방
민주공원 민주항쟁기념관
민주공원 작은방
닥밭골 방재공원 2호
부산광역시립중앙도서관
중앙공원 대한해협전승비
중구청 대청공원공영주차장 전기차충전소
복병산체육공원 운동장3
중앙공원 주차장
수정공원상로 제1노상주차장 전기차충전소
수정공원상로 제1노상공영주차장
복병산체육공원 운동장2
중앙공원 출입구
복병산체육공원
중앙대청공원
복병산체육공원 운동장1
대청공원 원로의집
