경찰서
부산동부경찰서 전기차충전소
좌천동방범초소
부산동부경찰서
좌천4치안센터
수정치안센터
좌천파출소
범일1동청년회방범초소
자성대파출소
수성지구대
범곡파출소
문현4치안센터
