공원
수정산 배수지
초량1동 소규모마을공원
수정동 우리동네 방재공원
이바구공원
수정공원상로 제1노상공영주차장
수정공원상로 제1노상주차장 전기차충전소
친수공원
영주배수지체육공원
고지대그린테마공원
지진옥외대피장소 쌈지공원
중앙공원
중앙공원 충혼탑
중앙공원 무궁화동산
동구체육공원 공영주차장
수정산가족체육공원 공영주차장
동구체육공원 공영주차장 전기차충전소
수정산가족체육공원
지진옥외대피장소 수정산가족 체육공원
수정산가족체육공원 풋살장
수정산가족체육공원 배드민턴장
수정가로공원
영주어린이공원
중앙공원 공영주차장
부산시설공단_중앙공원 공영주차장 전기차충전소
중앙공원 시민광장
대청공원맨션
중앙공원 화장실
중앙공원사업소
