경찰서
범일1동청년회방범초소
좌천파출소
자성대파출소
범곡파출소
범천1파출소
좌천4치안센터
서면지구대
범일4동청년회방범초소
좌천동방범초소
부산동부경찰서 전기차충전소
부산동부경찰서
문현4치안센터
문현2치안센터
수성지구대
문현지구대
수정치안센터
