도시근린공원
새싹공원
연이공원
물만골공원
늘푸른공원
해오름공원
양지공원
배산공원
옛골공원
양정꿈동산어린이공원
쌍미공원
부산광역시청 시민광장
부산광역시청 등대광장
녹음광장
