도시근린공원
쌍미공원
옛골공원
물만골공원
늘푸른공원
온천천시민공원
부산광역시청 시민광장
부산광역시청 등대광장
녹음광장
부산광역시청 잔디광장
근린공원
그린라인파크
연이공원
새싹공원
양정꿈동산어린이공원
