도시근린공원
늘푸른공원
부산광역시청 시민광장
물만골공원
부산광역시청 등대광장
녹음광장
부산광역시청 잔디광장
근린공원
양정꿈동산어린이공원
연이공원
양지공원
쌍미공원
옛골공원
새싹공원
