경찰서
범천1파출소
서면지구대
문현2치안센터
전포파출소
부전2치안센터
중앙치안센터
자성대파출소
범일1동청년회방범초소
좌천파출소
문현지구대
범일4동청년회방범초소
부산진경찰서 서면교통안내센터
범곡파출소
쏘카존 부산진경찰서 맞은편
문현4치안센터
