경찰서
서면지구대
범천1파출소
부전2치안센터
범일4동청년회방범초소
범곡파출소
범일1동청년회방범초소
전포파출소
문현2치안센터
좌천파출소
자성대파출소
중앙치안센터
부산진경찰서 서면교통안내센터
쏘카존 부산진경찰서 맞은편
경찰서옆초밥집
좌천4치안센터
문현지구대
