초등학교
양성초등학교
양성초등학교 교장실
지진실내구호소 양성초등학교
지진옥외대피장소 양성초등학교
양정초등학교 전기차충전소
지진실내구호소 양정초등학교
지진옥외대피장소 양정초등학교
양정초등학교
지진옥외대피장소 거제초등학교
거제초등학교 경비실
거제초등학교 병설유치원
거제초등학교
성전초등학교
양동초등학교 교무실
양동초등학교 행정실
양동초등학교
지진옥외대피장소 양동초등학교
성지초등학교 병설유치원
성지초등학교
지진옥외대피장소 성지초등학교
전포초등학교
전포초등학교 교무실
