경찰서
전포파출소
중앙치안센터
전포2치안센터
부산진경찰서 서면교통안내센터
문현2치안센터
부전2치안센터
범천1파출소
부전지구대
쏘카존 부산진경찰서 맞은편
서면지구대
부산진경찰서
부산진경찰서 장애인주차장
KB국민은행ATM 부산진경찰서 365자동화점
경찰서옆초밥집
범전치안센터
