초등학교
부산시초등영재교육원
연학초등학교
연학초등학교 행정실
지진옥외대피장소 연학초등학교
지진실내구호소 연학초등학교
우등생초등전문교실
부산진구 초읍초등학교 학교돌봄터
지진옥외대피장소 초읍초등학교
초읍초등학교
지진실내구호소 초읍초등학교
연지초등학교 주차장
지진실내구호소 연지초등학교
연지초등학교 전기차충전소
연지초등학교
지진옥외대피장소 연지초등학교
