경찰서
전포2치안센터
부전지구대
범전치안센터
중앙치안센터
부산진경찰서 서면교통안내센터
시민공원치안센터
부산진경찰서 장애인주차장
KB국민은행ATM 부산진경찰서 365자동화점
부산진경찰서
쏘카존 부산진경찰서 맞은편
경찰서옆초밥집
전포파출소
부전2치안센터
양정지구대
