경찰서
경찰서옆초밥집
쏘카존 부산진경찰서 맞은편
당감1치안센터
부산진경찰서
부산진경찰서 장애인주차장
KB국민은행ATM 부산진경찰서 365자동화점
부전2치안센터
부산진경찰서 서면교통안내센터
부산진경찰서 당감지구대
가야1치안센터
부암지구대
시민공원치안센터
중앙치안센터
부전지구대
서면지구대
당감4치안센터
연지치안센터
범일4동청년회방범초소
