경찰서
부전2치안센터
중앙치안센터
서면지구대
부산진경찰서 서면교통안내센터
쏘카존 부산진경찰서 맞은편
전포파출소
경찰서옆초밥집
부산진경찰서
부산진경찰서 장애인주차장
KB국민은행ATM 부산진경찰서 365자동화점
범천1파출소
문현2치안센터
범일4동청년회방범초소
전포2치안센터
부전지구대
범곡파출소
시민공원치안센터
