공공기관
중앙동주민센터
무인민원발급창구 중앙동 주민센터
무더위 쉼터
한국전기안전공사 부산울산지역본부
한국여천차문화원
남포지구대
한국 단란주점업중앙회 부산중구지부
에이치엘에스해원노동조합
제주특별자치도 홍보사무소
부산친환경생활지원센터
국제로터리 3661지구 서남로타리클럽
한국서도협회
무인민원발급창구 광복동지하상가
국제로타리 3661지구 남부산로타리클럽
소상공인시장진흥공단 부산중부센터
우체통
쓰시마 부산사무소
부산작가회의
한가족간병인협회
해양환경공단 부산지사
무인민원발급창구 국민건강보험공단 부산중부지사
무인우편창구
소상공인시장진흥공단 부산전용교육장
소상공인시장진흥공단 부산울산경남지역본부
부산 지방공정거래사무소
조선학교와 함께하는 시민모임 봄
부산광역시 아토피천식교육정보센터
부산우체국
우체국 예금보험지원단 부산지사
체신보험회관
부산문화연구회
국제로타리 3661지구 부산을숙도로타리클럽
국제로타리 3660지구 부산항도로타리클럽
대안경제센터
환경과자치연구소
국립수산물품질관리원 부산지원
부산광역시 이동청소년쉼터 남포동 용두산 공원
국민건강보험공단 부산중부지사
농림축산검역본부 영남지역본부
부산항크루즈
부산녹색소비자연대
부산평화영화제조직위원회
백산안희제선생기념사업회
부산광역시중구진로교육지원센터 꿈모락
