학원
베지스쿨
메이크업실용음악학원
EJ보컬스튜디오
케렌시아
이지댄스학원 광복점
나래디자인학원
KBS아트비전미용학원 부산남포캠퍼스
한중언어교류원
스타트미술교육연구소
어울림국악연구회
문성아카데미컴퓨터학원
배영식기타학원
이승희무용학원
여근섭화실
YBM어학원 광복센터
골든마우스
디자인스토리진
신세계제과제빵전문학원
바노윌리어학원
뮤닥터아카데미 롯데백화점 광복점
디렉팅뷰티아카데미
ESS 베스트주니어아카데미
액트레인연기학원 부산캠퍼스
부산씨앤씨스쿨연기학원
일본유가 애견미용학원
예디자인학원
위드피아노 부산남포점
더피아노앤아트
다운기타교실
진인사영상아카데미
스카이 실용음악학원
취미는음악학원 남포점
남성여자고등학교
리카 남포점
성산요양교육원
펀터치아트센터학원
부산무역아카데미
정현영어
이정수학
아트톡톡미술
자미로 실용음악학원
김영옥영어
수도요리학원
새들음악학원
