소방서
중부소방서 뒤 노상공영주차장
부산중부소방서 구조대
부산중부소방서 현장대응단
중앙119안전센터
중부소방서
부산중부소방서 전기차충전소
창선119안전센터
영선119안전센터
소방서앞사거리
