공공기관
부평동주민센터
대한민국월남전참전자회 부산광역시지부중구지회
부산광역시레슬링협회
대한민국특전동지회 재난구조협회 부산시중구지
생활체육회 중구서구지회
부평깡통시장 상인회
아리랑거리상인회
국제시장번영회
대한수박협회
만물의거리상인회
수와진의사랑더하기 부산경남지회
부산창선동우체국
우체통
한울장애인자활센타
창선119안전센터
고려수지침학회 부산중부지회
한국전력공사 남부건설본부
한국전력공사 중부산지사
부산서구청 정문
참사랑재가노인복지센터
부산신창상가조합
선한노인복지센터
부산광역시 서구청
부산서구청 도시국
관광경찰
부산광역시서구청 목민관
서구다행복교육센터
부산광역시서구청 행정지원국
바르게살기운동중앙협의회 중구협의회
광복동주민센터
중구새마을회
한울타리노인복지센터
향기로운사회서비스센터
한국청소년해사법학회
부산광역시서구의회
돌보미재가복지센터
대한민국고엽제전우회 부산광역시지부중구지회
나눔행복간병사협회
부평파출소
자갈치상인연합회
해들지역아동센터
부산시 중구 치매안심센터
중구정신건강복지센터
중구복합건강센터
