경찰서
남포지구대
창선치안센터
중앙치안센터
중부경찰서자율방범대
대청파출소
중부경찰서삼거리
부산중부경찰서
부산영도경찰서 전기차충전소
부산영도경찰서 구내식당
부산영도경찰서
부평파출소
대교파출소
보수파출소
영주파출소
