공공기관
영주1동주민센터
우체통
영주2구역재개발추진준비위원회
대한민국상이군경회 중구지회
중구보훈회관
부산중증장애인자립생활협회
굿모닝주야간보호센터
지수지역아동센터
대한 안마사협회 부산지부
한국수맥협회 부산본사
환경수호운동연합회
십대의벗
정민재가복지센터
지구녹색환경연합회
부산대영우편취급국
부산장애우권익문제연구소
전국해운산업노동조합
영주2구역재개발추진위원회
중구 노인복지관 분관
부산출입국외국인청 종합민원센터
영주파출소
한국국민당 부산사무소
중구선거관리위원회
부산지산학협력브랜치 54호
한길산악회
하정육영장학재단
영주2동주민센터
부산중앙동4가우체국
한국BBS 부산연맹중구지구회
부산항만물류협회
국민생활체육부산광역시육상연합회
초량1동행정복지센터
효나눔노인복지센터
행복나눔아트센터
부산광역시중구장애인협회
국제라이온스협회 355-A부산지구 한륜라이온스클럽
부산제대군인지원센터
부산지방보훈청
한국재정정보원 부산울산경남권역재정도움센터
전국해상전직선원노인복지협회
전국선박관리선원 노동조합
