경찰서
창선치안센터
남포지구대
대청파출소
부평파출소
부산영도경찰서 전기차충전소
부산영도경찰서 구내식당
부산영도경찰서
보수파출소
중부경찰서삼거리
부산중부경찰서
중앙치안센터
중부경찰서자율방범대
부민파출소
충무지구대
대교파출소
아미파출소
영주파출소
