공공기관
보수동행정복지센터
참벗재가복지센터
우체통
보수플러스센터
중구청년센터 청년마루
부산중구지역사회보장협의체
보수마루센터
중부산세무서
무인민원발급창구 중부산세무서
보수파출소
동방사회복지회미혼모상담
효자효녀노인복지센터
부산광역시중구청소년문화의집
심청이재가노인복지센터
민들레자원봉사센터
보수대밭골원로의집
감동재가복지센터
중구노인복지관
중구복합건강센터
부산시 중구 치매안심센터
중구정신건강복지센터
갑산시니어요양센타
돌보미재가복지센터
희망지역아동센터
부산보수동우체국
대한민국고엽제전우회 부산광역시지부중구지회
나눔행복간병사협회
중구종합사회복지관
노틀담노인복지센터
선한노인복지센터
참사랑재가노인복지센터
남해지방해양경찰청 부산수신소
부평파출소
개인택시조합 서부지부
서부산청년회의소
한울장애인자활센타
안병길국회의원 지역사무실
향기로운사회서비스센터
천주교부산교구 우리농촌살리기운동본부
국제라이온스협회 대지라이온스클럽
기울이면
한국아동복지회 어린이전화상담
한국아동복지회관
