공공기관
영주2동주민센터
영주파출소
영주2구역재개발추진위원회
한국BBS 부산연맹중구지구회
한길산악회
중구 노인복지관 분관
부산광역시중구장애인협회
효나눔노인복지센터
부산실버재가노인복지센터
지수아동센터교육관
우체통
부산대영우편취급국
부산어린이어깨동무
무인민원발급창구 박기종 기념관
영주1동주민센터
건강한재단
행복한우리집
영주2구역재개발추진준비위원회
정민재가복지센터
광복회 부산광역시지부
부산민주항쟁기념사업회
부산중증장애인자립생활협회
대한민국상이군경회 중구지회
중구보훈회관
굿모닝주야간보호센터
행복나눔아트센터
부산메리놀병원 우편취급국
지수지역아동센터
부산지산학협력브랜치 54호
대한 안마사협회 부산지부
십대의벗
부산장애우권익문제연구소
전국해운산업노동조합
한국수맥협회 부산본사
환경수호운동연합회
서구종합사회복지관
부산광역시 서구지역사회보장협의체
지구녹색환경연합회
초량1동행정복지센터
부산광역시중구청 별관
동광동주민센터
