음식점
남포동산꼼장어집
괴정집고래고기
주연네꼼장어
하동집남해
자갈치해물짬뽕
수정횟집
영란고래고기
고등어구이정식
바다횟집
우리보리밥
제일산꼼장어
부산명물횟집
수협식당
바다어패류
거제집산꼼장어
지연상회
자갈치광진
양씨상회도매횟집
복진고래고기
진주꼼장어
옥이집
일성상회
포경선
사량도횟집
파리바게뜨 부산남포점
리라식당
달봉이횟집
뉴부산횟집
고망고 남포점
해왕상회
총각상회
송학횟집
50년전통산곰장어원조집
충청도횟집
한라산횟집
동주네
친구네집
송도횟집
청정횟집
남해집
용궁횟집
대양상회
어방횟집&씨블꺼리
광주포청천횟집
마산횟집
