소방서
창선119안전센터
중부소방서 뒤 노상공영주차장
중앙119안전센터
부산중부소방서 구조대
부산중부소방서 현장대응단
중부소방서
부산중부소방서 전기차충전소
영선119안전센터
충무119안전센터
소방서앞사거리
부민119안전센터
