경찰서
보수파출소
부평파출소
대청파출소
부민파출소
충무지구대
영주파출소
창선치안센터
아미파출소
부산중부경찰서
중부경찰서삼거리
부산서부경찰서
중앙치안센터
남포지구대
중부경찰서자율방범대
서대치안센터
구덕지구대
동대치안센터
