공공기관
대청동주민센터
중구예비군지역대
꿈나무지역아동센터
부산기상관측소
한마음노인복지센터
환경문화연합
우체통
국보학술문화연구원
대청파출소
부산광역시중구자원봉사센터
부산중구지역자활센터
천주교부산교구 우리농촌살리기운동본부
무인민원발급창구 중구청 민원실
부산광역시중구의회
부산광역시중구청
중구장학회
부산광역시상수도사업본부 중동부사업소
쓰시마 부산사무소
해들지역아동센터
부산광역시중구진로교육지원센터 꿈모락
한울타리노인복지센터
복병산원로교실
부산광역시중구여성자원봉사원회
부산광역시중구청 별관
노틀담노인복지센터
중구종합사회복지관
향기로운사회서비스센터
중구 다행복교육지원센터
중구 국제화센터
동광동 마을건강센터
대한에이즈예방협회 부산지회
부산작가회의
부산녹색소비자연대
부산신창상가조합
부산문화연구회
창선119안전센터
국제로타리 3661지구 부산을숙도로타리클럽
국제로타리 3660지구 부산항도로타리클럽
조선학교와 함께하는 시민모임 봄
만물의거리상인회
캄보디아왕국영사관
국제로터리 3661지구 서남로타리클럽
3.1동지회 부산광역시중구지부
