공공기관
남포동주민센터
한국미용성형의학회
부산시수협남포동중매상협회
자갈치시장번영회
부산청년센터
한국두피모발관리사능력개발협회
부산광역시중구청소년상담복지센터
중구청소년지원센터 꿈드림
부산신동아빌딩 우편취급국
창선치안센터
관광경찰
아프리카중동한인회총연합회
바르게살기운동중앙협의회 중구협의회
중구새마을회
광복동주민센터
우체통
부산창선동우체국
부산광역시 이동청소년쉼터 남포동 용두산 공원
한국청소년해사법학회
자갈치상인연합회
대한수박협회
부산시설공단 남부지하도상가사업소
국제로타리 3661지구 남부산로타리클럽
부산신창상가조합
아리랑거리상인회
고려수지침학회 부산중부지회
부산광역시중구진로교육지원센터 꿈모락
무인민원발급창구 광복동지하상가
남포지구대
만물의거리상인회
부산중구지역자활센터
부산친환경생활지원센터
무더위 쉼터
무인민원발급창구 중앙동 주민센터
중앙동주민센터
국제시장번영회
남항동 마을지기사무소
대한민국월남전참전자회 부산광역시지부중구지회
한국전기안전공사 부산울산지역본부
부평동주민센터
수와진의사랑더하기 부산경남지회
농림축산검역본부 영남지역본부
국립수산물품질관리원 부산지원
한국여천차문화원
