공공기관
동광동주민센터
이웃사랑결연후원회
부산중부경찰서
우체통
중앙119안전센터
흥아해운 노동조합
중부소방서
행복나눔아트센터
부산중부소방서 구조대
부산중부소방서 현장대응단
중앙치안센터
동행재가노인복지센터
부산메리놀병원 우편취급국
3.1동지회 부산광역시중구지부
동광동 마을건강센터
금융결제원 부산사무소
주부산러시아총영사관
한국특수교사협회
타이코나눔협동조합
굿피플 부산지역본부
부산광역시중구여성자원봉사원회
복병산원로교실
부산광역시상수도사업본부 중동부사업소
부산광역시중구청 별관
수로종합복지센터
전국해운산업노동조합
부산장애우권익문제연구소
미국선급협회 한국지사
중구 국제화센터
영주2구역재개발추진준비위원회
중구 다행복교육지원센터
국제로타리 3661지구 부산광복로타리클럽
국제로타리 3661지구 부산로타리클럽
국민연금공단 중부산지사
캄보디아왕국영사관
중구장학회
부산광역시중구의회
부산광역시중구청
무인민원발급창구 중구청 민원실
부산국제선원복지회관
전국해운노동조합협의회
한국검수검정협회 부산지부
