경찰서
창선치안센터
남포지구대
부산영도경찰서 전기차충전소
부산영도경찰서 구내식당
부산영도경찰서
대청파출소
부평파출소
대교파출소
중앙치안센터
중부경찰서삼거리
부산중부경찰서
중부경찰서자율방범대
보수파출소
부민파출소
남항치안센터
충무지구대
아미파출소
영선지구대
