유치원
백조명문유치원
신금초등학교 병설유치원
햇빛유치원
금명초등학교 병설유치원
화명꿈유치원
댕구르강아지유치원
명진초등학교 병설유치원
대천리초등학교병설유치원
21세기어린이집
